lr,step,total_step,train_loss,valid_loss,date_time
0.001,4000,60000,4.83142967171967,5.192040920257568,01/09/2023-18:49:09
0.001,8000,60000,3.8228256916701793,5.023545457869768,01/09/2023-19:02:27
0.001,12000,60000,3.391647054284811,5.049863348305226,01/09/2023-19:15:44
0.001,16000,60000,3.1015594295822084,5.121291125267744,01/09/2023-19:29:01
0.001,20000,60000,2.911755977600813,5.178379825800658,01/09/2023-19:42:19
0.0003333333333333333,24000,60000,2.630005917172879,5.152821319401264,01/09/2023-19:55:36
0.0003333333333333333,28000,60000,2.376253323599696,5.175869135558605,01/09/2023-20:08:54
0.0003333333333333333,32000,60000,2.2616395465806125,5.210268786251545,01/09/2023-20:22:11
0.0001111111111111111,36000,60000,2.180424944890663,5.2712136867642405,01/09/2023-20:35:28
0.0001111111111111111,40000,60000,2.0251887385621665,5.317037114799023,01/09/2023-20:48:45
0.0001111111111111111,44000,60000,1.9725475804544985,5.318140462934971,01/09/2023-21:02:02
0.0001111111111111111,48000,60000,1.9416556757874788,5.338901389241219,01/09/2023-21:15:20
0.0001111111111111111,52000,60000,1.9065353004876524,5.368536529242992,01/09/2023-21:28:39
3.703703703703703e-05,56000,60000,1.8692779119051992,5.382808149456978,01/09/2023-21:41:58
3.703703703703703e-05,60000,60000,1.82806624552235,5.39382118165493,01/09/2023-21:55:16
