lr,step,total_step,train_loss,valid_loss,date_time
0.001,4000,60000,4.765780054261908,5.111363149434328,01/09/2023-22:08:35
0.001,8000,60000,3.612131594568491,5.030244201421738,01/09/2023-22:21:36
0.001,12000,60000,3.178158116042614,5.055463614612818,01/09/2023-22:34:36
0.001,16000,60000,2.9184270477294922,5.104613101929426,01/09/2023-22:47:37
0.001,20000,60000,2.739463489562273,5.230120306164026,01/09/2023-23:00:37
0.0003333333333333333,24000,60000,2.473951781641692,5.2085505110025405,01/09/2023-23:13:36
0.0003333333333333333,28000,60000,2.2209107413738964,5.21708197414875,01/09/2023-23:26:36
0.0003333333333333333,32000,60000,2.1098273132555185,5.3097131636738775,01/09/2023-23:39:36
0.0001111111111111111,36000,60000,2.0321898792423307,5.354985434263945,01/09/2023-23:52:36
0.0001111111111111111,40000,60000,1.8920871453694998,5.361723581850529,02/09/2023-00:05:36
0.0001111111111111111,44000,60000,1.844529920430854,5.385310515761375,02/09/2023-00:18:36
0.0001111111111111111,48000,60000,1.8061519197840243,5.390205927491188,02/09/2023-00:31:35
0.0001111111111111111,52000,60000,1.7710156436245887,5.412337292283773,02/09/2023-00:44:35
3.703703703703703e-05,56000,60000,1.7469718073066325,5.435162899345159,02/09/2023-00:57:34
3.703703703703703e-05,60000,60000,1.6982214104272426,5.449321432113647,02/09/2023-01:10:34
