lr,step,total_step,train_loss,valid_loss,date_time
0.001,4000,60000,4.9624169736467305,4.747731349021197,01/09/2023-21:58:50
0.001,8000,60000,3.6941159546487032,4.499309857785701,01/09/2023-22:13:17
0.001,12000,60000,3.136167862090282,4.506892188563943,01/09/2023-22:27:46
0.001,16000,60000,2.805428144973703,4.587706216014921,01/09/2023-22:42:13
0.001,20000,60000,2.624502281561494,4.649541303962469,01/09/2023-22:56:41
0.0003333333333333333,24000,60000,2.340082894381427,4.580482037230395,01/09/2023-23:11:10
0.0003333333333333333,28000,60000,2.0582797005644533,4.58961039013695,01/09/2023-23:25:39
0.0003333333333333333,32000,60000,1.9282778300496284,4.643024866655469,01/09/2023-23:40:07
0.0001111111111111111,36000,60000,1.839577936855465,4.711556907345075,01/09/2023-23:54:36
0.0001111111111111111,40000,60000,1.6923046332879457,4.730280847921968,02/09/2023-00:09:05
0.0001111111111111111,44000,60000,1.6304236425377312,4.738802759260871,02/09/2023-00:23:33
0.0001111111111111111,48000,60000,1.5912117413995583,4.761891610296443,02/09/2023-00:38:01
0.0001111111111111111,52000,60000,1.5551298980428838,4.785251955335261,02/09/2023-00:52:30
3.703703703703703e-05,56000,60000,1.5222153197512962,4.790805975677213,02/09/2023-01:06:58
3.703703703703703e-05,60000,60000,1.4828259527830379,4.801370008833474,02/09/2023-01:21:26
