model_name,dataname,lr,batch_size,hidden_size,dropout,epoch,total_epoch,train_loss,valid_loss
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,0,15,3.2182724377495076,4.109032953098575
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,1,15,2.024251283879346,3.728497302347913
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,2,15,1.6695662675699474,3.6221646923928503
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,3,15,1.4527637964761264,3.6341722066157516
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,4,15,1.3051891363565047,3.6778829515158655
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.001,32,512,0.5,5,15,1.2240332909878318,3.769487462749586
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,6,15,1.1292656321347023,3.793601211933221
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,7,15,0.9150639774512497,3.727527697476499
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,8,15,0.813540264268092,3.8073208327999617
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,9,15,0.7621789982749494,3.838029249531633
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,10,15,0.7239536796730587,3.920280798556323
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,11,15,0.6861636442028125,3.9697700293853564
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.000333,32,512,0.5,12,15,0.6655295211474563,3.948793404220425
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.00011088900000000002,32,512,0.5,13,15,0.634766840772175,4.039793717575834
direct-EnFr.pt,EnDeFrItEsPtRo-60k-most10k-1.pkl,0.00011088900000000002,32,512,0.5,14,15,0.5610777977013839,4.062168341328172
