model_name,lr,batch_size,hidden_size,num_layers,enc_dropout,dec_dropout,epoch,total_epoch,train_loss,valid_loss
name,float,int,int,int,float,float,int,int,float,float
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,0,10,5.603589101314545,5.716044228076935
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,1,10,4.589948177099228,5.383011040687561
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,2,10,3.994109843969345,5.350861845016479
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,3,10,3.539189506173134,5.379549579620361
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,4,10,3.1895853053927423,5.448787074089051
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,5,10,2.964795372992754,5.538308117389679
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,6,10,2.7932965980768203,5.576616606712341
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,7,10,2.6483355519771576,5.656599516868591
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,8,10,2.5224510726332663,5.705752439498902
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,9,10,2.4271920276880263,5.833876993656158
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,10,10,2.337346603423357,5.913929481506347
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,11,10,2.2707338750213384,5.932204811573029
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,12,10,2.2134404369294645,5.969312264919281
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,13,10,2.1518861005306245,6.062150228023529
attn_en-fr_32k.pt,0.001,32,512,no-num_layers,0.5,0.5,14,10,2.128463633298874,6.156106333732605
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,0,5,3.680224772909656,3.191094184224494
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,1,5,2.57581592593994,2.9983354375511406
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,2,5,2.2672205103971064,2.9167660793283723
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,3,5,2.0810965547518574,2.9364581599843222
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,4,5,1.95366873727215,3.0294947115230024
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,5,5,1.8498938973564654,3.042063899342902
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,6,5,1.7798771419863915,3.1045709251542575
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,7,5,1.7149787545141297,3.156214561217057
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,8,5,1.6748662427733652,3.1652883274201304
attn_en-fr_32k_160kset_inverse.pt,0.001,32,512,no-num_layers,0.5,0.5,9,5,1.6242574697738745,3.1762080275508926
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,0,5,3.7076662836000325,3.2620172996399925
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,1,5,2.593836814429611,3.0279477567819413
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,2,5,2.284737908019684,2.96942320030299
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,3,5,2.106990474297665,3.00727859227889
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,4,5,1.9855428994100657,3.020972708146437
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,5,5,1.8933251239056699,3.088736249045469
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,6,5,1.8076538454103284,3.056385453610128
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,7,5,1.7495596138190013,3.1295121669903163
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,8,5,1.7107053752405337,3.1620815310336186
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,9,5,1.6606057662006932,3.2810688409676367
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,10,5,1.6270641208174639,3.32118409581235
attn_en-fr_32k_160kset_invAfPad.pt,0.001,32,512,no-num_layers,0.5,0.5,11,5,1.6140119106523925,3.29696977777945
