lr,step,total_step,train_loss,valid_loss,date_time
0.001,4000,60000,4.989619642160833,4.930024984329939,01/09/2023-18:45:45
0.001,8000,60000,3.6949104804471133,4.8068376458436255,01/09/2023-18:58:29
0.001,12000,60000,3.1991214326545596,4.75886203546077,01/09/2023-19:11:13
0.001,16000,60000,2.895516960196197,4.860603906996548,01/09/2023-19:23:57
0.001,20000,60000,2.710955250568688,4.835227783471346,01/09/2023-19:36:41
0.0003333333333333333,24000,60000,2.4150110862789442,4.874925887621939,01/09/2023-19:49:26
0.0003333333333333333,28000,60000,2.1321935716695153,4.904244773341343,01/09/2023-20:02:12
0.0003333333333333333,32000,60000,2.01094682823366,4.926577002638951,01/09/2023-20:14:57
0.0001111111111111111,36000,60000,1.9265747955411208,5.01330671897158,01/09/2023-20:27:41
0.0001111111111111111,40000,60000,1.7724433915380504,4.990412319954484,01/09/2023-20:40:25
0.0001111111111111111,44000,60000,1.7126997118853033,5.056829130072146,01/09/2023-20:53:10
0.0001111111111111111,48000,60000,1.679194557288458,5.076746544800699,01/09/2023-21:05:54
0.0001111111111111111,52000,60000,1.6415362997478806,5.0610981500986965,01/09/2023-21:18:38
3.703703703703703e-05,56000,60000,1.6050594487276393,5.0980507315485735,01/09/2023-21:31:23
3.703703703703703e-05,60000,60000,1.5663000374297844,5.1134501443896445,01/09/2023-21:44:06
